link,year_publication,title,journal_name,aim_1,aim_2,aim_3,first_author,reference_uid,unique_id,metric,trap_types,trapping_method,repeated_visit,geolocation_level,speciation,aim,aim_detail,species_accumulation,diversity_measurement,trapping_effort,pathogen,supplementary_data,funding
https://doi.org/10.1111/mec.12112,2013,"Invasion genetics of the introduced black rat (rattus rattus) in Senegal, West Africa",Molecular Ecology,To bring together and summarise historical knowledge on the presence of the black rat in Senegal,To depict the spatial structure of neutral genetic variation in the black rat population,To infer the invasion pathways of R rattus into senegal,Adam Konecny,10.1111/mec.12112,ak_2013_senegal,abundance,not_stated,purposeful_houses,no,study_site,"morphological, molecular",Ecology,"Rodent assemblage along an invasion front, Historical range expansion",No,No,No,No,,
https://doi.org/10.1371/journal.pntd.0002246,2013,"Prevalence and diversity of Bartonella species in commensal rodents and ectoparasites from Nigeria, West Africa",PLOS NTD,To determine the possible infection of commensal rodents and their ectoparasites from Nigeria with Bartonella spp,,,Joshua Kamani,10.1371/journal.pntd.0002246,jk_2013_nigeria,abundance,local_wire_mesh,not_stated,no,study_site,not_stated,Zoonoses risk,"Prevalence of zoonoses in animal population, Prevalence of zoonotic bacteria in ectoparasites of rodents",No,No,No,Yes,,
https://doi.org/10.1515/mammalia-2012-0083,2013,Assessment of terrestrial small mammals and a record of the critically endangered shrew Crocidura wimmeri in Banco National Park (Cote d'Ivoire),Mammalia,"To determine the associations of Murids and Soricidae with primary forests, secondary forests and swamp and to determine whether any of the rare species have survived in the sanctuary",,,Blaise Kadjo,10.1515/mammalia-2012-0083,bk_2013_cotedivoire,abundance,"sherman, longworth",line_transect,yes,study,morphological,Ecology,"Biodiversity, Effect of nature reserves on biodiversity",No,Yes,Yes,No,,
https://doi.org/10.3201/eid1911.121491,2013,"Two Novel Arenaviruses Detected in Pygmy Mice, Ghana",Emerging Infectious Diseases,Investigating the prevalence of LASV in selected sites in Ghana,,,Karl Kronmann,10.3201/eid1911.121491,kk_2013_ghana,abundance,not_stated,line_transect,no,study_site,not_stated,Zoonoses risk,Prevalence of zoonoses in animal population,No,No,Incomplete,Yes,,
https://doi.org/10.5402/2013/502638,2013,"Leptospira spp. Prevalence in Small Mammal Populations in Cotonou, Benin",ISRN Epidemiology,Determine the prevalence of leptospirosis  in small mammals in Cotonou,,,Gualbert Houemenou,10.5402/2013/502638,gh_2013_benin,abundance,local_wire_mesh,not_stated,no,study,morphological,Zoonoses risk,Prevalence of zoonoses in animal population,No,No,Incomplete,Yes,,
https://doi.org/10.1111/aje.12055,2012,Ecology of a typical West African Sudanian savannah rodent community,African Journal of Ecology,Aimed to characterise the small mammal community in an area prior to gold mining activity,,,Khalilou Ba,10.1111/aje.12055,kb_2012_senegal,abundance,"sherman, local_wire_mesh, pitfall",line_transect,yes,study_site,"morphological, molecular",Ecology,"Biodiversity, Small mammal survey",Yes,No,Yes,No,,
https://doi.org/10.1371/journal.pntd.0001924,2012,"Endemic foci of tick-borne relapsing fever spirochete Borrelia crocidurae in Mali, West Africa and the potential for human infection",PLOS NTD,Aimed to identify the prevalence of Borrelia in small mammals in Mali,,,Tom Schwan,10.1371/journal.pntd.0001924,ts_2012_mali,abundance,sherman,purposeful,no,study_site,"morphological, molecular",Zoonoses risk,Prevalence of zoonoses in animal population,No,No,Incomplete,Yes,,
https://doi.org/10.1515/mammalia-2011-0012,2012,"On a new species of Dendromus (Rodentia, Nesomyidae) from Mount Nimba, Guinea",Mammalia,Aimed to revise Guinean specimens of Dendromus from Mount Nimba and surrounding materials including specimens collected in 2008,,,Christiane Denys,10.1515/mammalia-2011-0012,cd_2012_guinea,abundance,"sherman, pitfall",line_transect,no,study,"morphological, molecular",Ecology,Revision of species classification,No,No,Incomplete,No,,
https://doi.org/10.1016/j.actao.2012.01.002,2012,Demographic aspects of the island syndrome in two Afrotropical Mastomys rodent species,Acta Oecologica,Aimed to analyse survival and seniority of island rodent populations,,,Laurent Crespin,10.1016/j.actao.2012.01.002,lc_2012_senegal,abundance,local_wire_mesh,trap_grid,yes,study_site,not_stated,Ecology,"Population dynamics, Survival and recruitment in an island rodent population",No,No,Yes,No,,
https://doi.org/10.1016/j.jaridenv.2011.04.029,2011,Capacity for water conservation in invasive (Gerbillus nigeriae) and declining rodents (Taterillus pygargus and Taterillus gracilis) that exhibit climate-induced distribution changes in Senegal,Journal of Arid Environments,Aimed to investigate the effect of a 12 day water poor diet in the invasive species G. nigeriae and the declining species of T. pygargus and T. gracilis.,,,M. Thiam,10.1016/j.jaridenv.2011.04.029,mt_2011_senegal,abundance,local_wire_mesh,not_stated,no,study,molecular,Ecology,Effect of water poor diet on specific rodent species,No,No,No,No,,
